OP Timed, `?optimed <player> <minutes>` `?opt`, Set player to OP for a set time in minutes.
World Backups, `?worldbackupslist [amount]` `?backups`, Shows list of created backups along with corresponding index number. Amount is how many latest backups to show.
World New Backup, `?worldbackupnew <codename>`, Create a new backup, need to provide a name or keywords. Cannot overwrite existing backup, use `?delete` first.
World New Backup Date, `?worldbackupdate` `?wbdate`, Create new world backup with the current date as name.
World Restore, `?worldbackuprestore <index>` `?worldrestore`, Restore to a saved backup, need to input a index number you get from `?saves`.
World Backup Delete, `?worldbackupdelete <index>` `?worlddelete`, Delete a saved world backup.
Server Backups, `?serverbackupslist [amount]` `?serverbackups`, Get list of server backups, can specify how many of latest to show.
Server New Backup, `?serverbackup <codename>`, Create backup of all server files.
Server New Backup Date, `?serverbackupdate` `?sbdate`, Create new server backup with the current date as name.
Server Delete Backup, `?serverdelete <index>`, Get index number from `?serverbackups`.
Server Restore, `?serverbackuprestore <index>` '?serverrestore` `?restoreserver`, Restores server files from backup.
Server Update, `?serverupdate [now]` `?su`, Updates server.jar from official Minecraft website.
Server Properties, `?property <all/property name> [new value]` `?pr`, Check and change server server.properties file.
Server Update, `?serverupdate` `?su`, Downloads and installs latest server version. Supports: Vanilla, PaperMC).
Check Latest Version, `?latestversion` `?lv`, Checks what's the latest minecraft version. See Update Server for suported versions)
Set Online Mode, `?onlinemode [true/false]`, Set online mode to true or false, restart needed to apply change.
Set RCON, `?rcon [true/false]`, Enables or Disables RCON feature, no argument to check RCON status else make sure true or false argument is all lowercase. Currently have to set other RCON properties with `?property`.
Bot Log, `?botlog [lines]`, Get Discord bot logs, max of 20 lines, default is 5.
Bot Info, `?botinfo`, Get this bot's version and other info.
Bot Restart, `?rebootbot` `?rbot`, Reboots this discord bot.
Bot Update, `?botupdate` `?updatebot` `?gitupdate`, Uses git pull command to update code, WARNING: Issues may arise.
Set Channel, `?setchannel` `?setchannelid`, Set channel_id variable to allow bot to send important bot/server event updates.
Reset Channel, `?resetchannel` `?resetchannelid`, Reset channel_id variable.
Minecraft Commands Wiki page, `?mccommands`, `?mcc`, Show link to Wiki page that has all available Minecraft server commands and more information on individual commands.
Secret Panel, `?secretpanel`, `?sp`, ?????????
[HADES Protocol], `?newworld` `?hades`, *WARNING*: Activating HADES Protocol! ||Deletes world save, new one generated at start. Will not make backup||
